"description.string()","type.string()","brand.string()","model.string()","serial.string()","uaz.string()","guard.string()","location.string()","details.string()","funding.string()","rfid.string()"
"Escritorio","ofc","S/M","S/M","S/S",44020000441179,"JFT","Cubículo Dr Jorge Flores","-","PIFI","id_206"
"Sillón ejecutivo","ofc","S/M","S/M","S/S",440200013400553,"JFT","Cubículo Dr Jorge Flores","-","PMP","id_207"
"Silla","ofc","Genova","S/M","S/S",44020001316768,"RSA","Cubículo Dr Jorge Flores","-","FMX","id_208"
"Silla","ofc","S/M","S/M","S/S",44020001316675,"JFT","Cubículo Dr Jorge Flores","-","CONACYT","id_209"
"Librero de madera","ofc","S/M","S/M","S/S",4402000066398,"JFT","Cubículo Dr Jorge Flores","-","PMP","id_210"
"Teléfono","ofc","Cisco","Cisco IP Phone 7945","FCH14058PU4",,,"Cubículo Dr Jorge Flores","-","-","id_211"
"Teléfono","ofc","Cisco","Cisco IP Phone 7965","FCH16028CLQ",,,"Cubículo Dr Calviño","-","-","id_212"
"Escritorio café claro","ofc","S/M","S/M","S/S",4402000044115,"SID","Cubículo Ricardo","-","-","id_213"
"Escritorio café claro","ofc","S/M","S/M","S/S",4402000044122,"JFT","Cubículo Dr Calviño","-","-","id_214"
"Archivero metal 2 cajones","ofc","S/M","S/M","S/S",440200000864,"SID","Cubículo Dr Calviño","-","-","id_215"
"Silla con ruedas","ofc","S/M","S/M","S/S",44020001592873,"JFT","Cubículo Ricardo","-","SEMAR","id_216"
"Sillón ","ofc","S/M","S/M","S/S",,,"Cubículo Dr Calviño","-","-","id_217"
"Silla","ofc","Genova","S/M","S/S",44020001316773,"JFT","Cubículo Dr Calviño","-","FMX","id_218"
"Escritorio","ofc","Gebeso","S/M","S/S",44020000441742,"JFT","Cubículo Dr Israel Arriaga","-","CONACYT","id_219"
"Credenza","ofc","S/M","S/M","S/S",4402000036361,"JFT","Cubículo Dr Israel Arriaga","-","CONACYT","id_220"
"Sillón giratorio","ofc","S/M","OHE-405","S/S",4402000163821,"JFT","Cubículo Dr Israel Arriaga","-","CONACYT","id_221"
"Teléfono","ofc","Cisco","Cisco IP Phone 7942","FCH18478UE0",,,"Cubículo Dr Israel Arriaga","-","-","id_222"
"Silla","ofc","S/M","S/M","S/S",44020001316677,"JFT","Cubículo Dr Israel Arriaga","-","CONACYT","id_223"
"Silla","ofc","S/M","S/M","S/S",44020001316678,"JFT","Cubículo Dr Israel Arriaga","-","CONACYT","id_224"
